timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rssi_watch,rssi_iphone
75529.0,-1.69,-0.49,0.44,96.62,-38.33,-60.18,999.0,999.0
75546.0,-1.33,-0.32,0.24,83.56,-25.63,-40.95,999.0,999.0
75567.0,-0.76,-0.2,0.17,74.22,-1.71,-3.78,999.0,999.0
75584.0,-0.35,0.1,0.06,119.32,-1.95,-20.26,999.0,999.0
75605.0,-0.5,0.29,0.51,148.62,9.95,-64.03,999.0,999.0
75626.0,-0.93,0.01,0.05,165.59,27.53,-92.77,999.0,999.0
75650.0,-1.12,-0.75,-0.67,128.17,11.78,-69.64,999.0,999.0
75671.0,-1.21,-0.32,-0.31,102.6,-28.69,-35.83,999.0,999.0
75692.0,-0.79,-0.1,0.17,62.81,-23.44,-51.7,999.0,999.0
75709.0,-0.83,-0.28,0.03,52.12,-19.71,-71.78,999.0,999.0
75728.0,-0.94,-0.21,-0.01,65.43,-23.86,-75.32,999.0,999.0
75751.0,-0.97,-0.26,0.01,71.84,-15.75,-64.58,999.0,999.0
75771.0,-0.96,-0.28,0.03,38.39,-8.54,-45.29,999.0,999.0
75788.0,-0.93,-0.32,0.08,37.6,-2.2,-33.2,999.0,999.0
75808.0,-0.89,-0.39,-0.01,55.6,-1.65,-30.82,999.0,999.0
75829.0,-0.86,-0.34,-0.07,57.86,-8.24,-30.21,999.0,999.0
75857.0,-0.88,-0.27,-0.06,35.77,-20.02,-34.24,999.0,999.0
75878.0,-0.9,-0.27,0.04,-2.26,-27.83,-36.38,999.0,999.0
75893.0,-0.92,-0.29,0.07,-12.27,-22.71,-34.24,999.0,999.0
75913.0,-0.93,-0.28,0.03,-7.87,-21.12,-31.49,999.0,999.0
75934.0,-0.91,-0.21,0.02,-3.85,-24.23,-32.65,999.0,999.0
75956.0,-0.92,-0.2,0.03,4.52,-22.52,-34.48,999.0,999.0
75977.0,-0.94,-0.2,0.07,16.36,-19.1,-34.73,999.0,999.0
75997.0,-0.96,-0.23,0.07,9.09,-18.86,-37.84,999.0,999.0
76014.0,-0.98,-0.28,0.03,9.77,-17.7,-41.5,999.0,999.0
76035.0,-0.96,-0.33,-0.03,16.42,-17.76,-39.61,999.0,999.0
76064.0,-0.95,-0.34,-0.0,15.93,-15.14,-33.26,999.0,999.0
76085.0,-0.94,-0.42,-0.03,22.77,-10.44,-26.55,999.0,999.0
76106.0,-0.94,-0.45,-0.02,12.94,-6.96,-18.49,999.0,999.0
76127.0,-0.93,-0.45,0.01,-5.49,-6.53,-15.32,999.0,999.0
76148.0,-0.94,-0.46,0.06,0.12,-3.54,-14.28,999.0,999.0
76170.0,-0.97,-0.56,0.06,25.21,13.06,-8.42,999.0,999.0
76191.0,-1.04,-0.66,-0.12,43.76,29.05,10.93,999.0,999.0
76209.0,-1.09,-0.52,-0.01,40.53,25.76,23.62,999.0,999.0
76229.0,-1.09,-0.46,0.22,-25.63,42.6,59.2,999.0,999.0
76250.0,-1.08,-0.34,0.23,-39.25,73.55,84.78,999.0,999.0
76275.0,-1.0,0.08,0.1,-0.55,92.96,111.69,999.0,999.0
76294.0,-1.13,0.23,0.3,56.76,107.42,130.55,999.0,999.0
